time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448350000	20.265	13.4848	4.67	1.69488	0.51396	radar	1.306	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2378	13.7569	4.75258	1.72095	0.514771	lidar	1.37777	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1883	13.9747	4.68743	1.75415	0.525616	radar	1.01155	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1273	14.2426	4.76964	1.78671	0.531791	lidar	0.562335	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0581	14.4668	4.75411	1.81898	0.537542	radar	1.4901	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9448	14.7351	4.85384	1.86378	0.554327	lidar	1.69807	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8775	14.9496	4.83799	1.88585	0.545271	radar	3.18409	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8446	15.1668	4.79088	1.89807	0.531465	lidar	1.78131	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7273	15.3635	4.63912	1.95788	0.581697	radar	8.77442	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.699	15.5466	4.53837	1.96743	0.563636	lidar	2.6238	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6116	15.7417	4.51162	1.9949	0.562552	radar	1.17027	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.501	15.9664	4.56373	2.02659	0.565989	lidar	0.171329	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4004	16.1703	4.586	2.04834	0.554223	radar	1.61089	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.289	16.3508	4.546	2.0789	0.556622	lidar	0.475006	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1762	16.5414	4.5278	2.10869	0.559958	radar	0.242564	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
